what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1300115339581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1300115340265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1300115340674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1300115341090
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1300115341932
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1300115341934
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300115344605
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1300115344874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115356242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115376531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115387145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115429586
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115447719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300115453053
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115454303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115456303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115457869
error,log,,,"The program file specified in the launch configuration does not exist",1300115457917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115458017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115458741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115470179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115471880
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1300115474750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300115479586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115480424
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115484675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115485842
error,log,,,"The program file specified in the launch configuration does not exist",1300115485892
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115485997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115487661
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115496795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115499501
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1300115511417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115514919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300115519919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115520710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115523481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115554045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115569398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115571903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115573719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115591128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115599469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115600908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115617067
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115619092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115620555
error,log,,,"The program file specified in the launch configuration does not exist",1300115620638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115620688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115623638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115627817
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300115629216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115645729
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300115677867
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1300115680924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1300115683206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115683935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1300115685924
